"pos","lat","lon","alt","time","speed","bearing","acc","heartRate","cadence","temperature","strides","speed_sensor","custom_coords"
"1","64.843899","-163.710674","50","2022-07-07T07:58:35.000+0900","0.00","254","3.91","","","","","",""
"2","64.843908","-163.710671","49","2022-07-07T07:58:52.000+0900","0.43","13","4.05","","","","","",""
"3","64.843921","-163.710668","49","2022-07-07T07:59:02.000+0900","0.33","0","3.95","","","","","",""
"4","64.843916","-163.710651","48","2022-07-07T07:59:20.000+0900","0.01","0","3.90","","","","","",""
"5","64.843919","-163.710627","48","2022-07-07T07:59:31.000+0900","0.00","35","3.81","","","","","",""
"6","64.843919","-163.710595","48","2022-07-07T07:59:41.000+0900","0.00","35","3.73","","","","","",""
"7","64.843912","-163.710620","48","2022-07-07T08:00:51.000+0900","0.18","35","3.90","","","","","",""
"8","64.843903","-163.710622","48","2022-07-07T08:01:03.000+0900","0.00","35","3.67","","","","","",""
"9","64.843907","-163.710603","48","2022-07-07T08:03:27.224+0900","0.01","15","3.51","","","","","",""
"10","64.843911","-163.710583","48","2022-07-07T08:03:38.466+0900","0.68","75","3.73","","","","","",""
"11","64.843923","-163.710555","47","2022-07-07T08:03:49.706+0900","0.80","55","3.92","","","","","",""
"12","64.843969","-163.710449","45","2022-07-07T08:04:00.589+0900","0.50","43","4.47","","","","","",""
"13","64.844044","-163.710373","46","2022-07-07T08:04:10.424+0900","0.35","0","5.08","","","","","",""
"14","64.844088","-163.710430","46","2022-07-07T08:04:20.308+0900","0.55","349","4.57","","","","","",""
"15","64.844150","-163.710506","49","2022-07-07T08:04:29.388+0900","0.65","334","4.35","","","","","",""
"16","64.844200","-163.710496","47","2022-07-07T08:04:39.302+0900","0.49","360","4.48","","","","","",""
"17","64.844253","-163.710549","46","2022-07-07T08:04:49.000+0900","0.67","345","3.97","","","","","",""
"18","64.844287","-163.710608","48","2022-07-07T08:04:58.706+0900","0.65","318","4.64","","","","","",""
"19","64.844335","-163.710626","48","2022-07-07T08:05:08.605+0900","0.28","360","4.23","","","","","",""
"20","64.844418","-163.710640","46","2022-07-07T08:05:18.345+0900","0.69","351","4.20","","","","","",""
"21","64.844504","-163.710642","48","2022-07-07T08:05:28.000+0900","0.85","355","4.31","","","","","",""
"22","64.844576","-163.710634","47","2022-07-07T08:05:39.587+0900","0.63","358","4.35","","","","","",""
"23","64.844625","-163.710721","48","2022-07-07T08:05:49.524+0900","0.67","344","4.57","","","","","",""
"24","64.844669","-163.710846","48","2022-07-07T08:05:59.670+0900","0.51","305","3.89","","","","","",""
"25","64.844695","-163.710890","49","2022-07-07T08:06:09.549+0900","0.19","310","3.96","","","","","",""
"26","64.844774","-163.710969","47","2022-07-07T08:06:19.000+0900","0.60","6","4.37","","","","","",""
"27","64.844815","-163.710901","45","2022-07-07T08:06:28.408+0900","0.51","28","4.33","","","","","",""
"28","64.844852","-163.710892","42","2022-07-07T08:06:39.667+0900","0.33","3","4.22","","","","","",""
