Model:	LI-7810
SN:	TG10-01205
Software Version:	2.0.25
Timestamp:	2022-07-01 10:25:20
Timezone:	US/Alaska
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	¡ÆC	kPa	¡ÆC		¥ìsecs	¡ÆC	counts	¡ÆC	V	CHK
DATA	1656886472	34782886	11	256	2022-07-03	14:14:32	nan	nan	nan	101.295	20.8838	101.835	24.3412	0	0	20.8081	-4000	0	24.1374	162
DATA	1656886473	34739017	15	256	2022-07-03	14:14:33	nan	nan	nan	101.449	20.8838	101.988	27.3385	0	0	20.8083	-16000	0	24.1068	231
DATA	1656886474	34704923	19	256	2022-07-03	14:14:34	nan	nan	nan	101.449	20.8838	101.987	35.3524	0	0	20.8088	-16000	0	24.1111	222
DATA	1656886475	34663915	23	256	2022-07-03	14:14:35	nan	nan	nan	101.449	20.8838	101.988	38.978	0	0	20.809	-16000	0	24.1174	144
DATA	1656886476	34624099	27	256	2022-07-03	14:14:36	nan	nan	nan	101.45	20.8838	101.988	39.3032	0	0	20.8096	-16000	0	24.1178	185
DATA	1656886477	34573078	31	256	2022-07-03	14:14:37	nan	nan	nan	101.449	20.8838	101.989	39.4296	0	0	20.8097	-16000	0	24.1189	255
DATA	1656886478	34533977	35	256	2022-07-03	14:14:38	nan	nan	nan	101.449	20.8838	101.989	39.4902	0	0	20.8103	-16000	0	24.1189	247
DATA	1656886479	34533977	39	256	2022-07-03	14:14:39	nan	nan	nan	101.45	20.8838	101.988	39.5253	0	0	20.8103	-16000	0	24.1189	196
DATA	1656886480	34533977	43	256	2022-07-03	14:14:40	nan	nan	nan	101.449	20.8838	101.989	39.5494	0	0	20.8108	-16000	0	24.1197	243
DATA	1656886481	34533977	47	256	2022-07-03	14:14:41	nan	nan	nan	101.45	20.8838	101.988	39.5656	0	0	20.811	-16000	0	24.1197	137
DATA	1656886482	34533977	51	256	2022-07-03	14:14:42	nan	nan	nan	101.451	20.8841	101.989	39.5766	0	0	20.8113	-16000	0	24.1197	231
DATA	1656886483	34533977	55	256	2022-07-03	14:14:43	nan	nan	nan	101.451	20.8845	101.988	39.5849	0	0	20.8117	-16000	0	24.1201	232
DATA	1656886484	34533977	59	256	2022-07-03	14:14:44	nan	nan	nan	101.451	20.8845	101.988	39.5909	0	0	20.8117	-16000	0	24.1201	235
DATA	1656886485	34533977	63	256	2022-07-03	14:14:45	nan	nan	nan	101.451	20.8845	101.988	39.5951	0	0	20.8121	-16000	0	24.1201	224
DATA	1656886486	34219980	67	256	2022-07-03	14:14:46	nan	nan	nan	101.451	20.8845	101.989	39.5982	0	0	20.8124	-16000	0	24.1201	233
DATA	1656886487	34219980	71	256	2022-07-03	14:14:47	nan	nan	nan	101.451	20.8845	101.989	39.5994	0	0	20.8124	-16000	0	24.1205	237
DATA	1656886488	34219980	75	256	2022-07-03	14:14:48	nan	nan	nan	101.451	20.8845	101.989	39.6011	0	0	20.8126	-16000	0	24.1201	222
DATA	1656886489	34219980	79	256	2022-07-03	14:14:49	nan	nan	nan	101.452	20.8845	101.989	39.6025	0	0	20.8131	-16000	0	24.1205	234
DATA	1656886490	34219980	83	256	2022-07-03	14:14:50	nan	nan	nan	101.452	20.8845	101.989	39.6032	0	0	20.8131	-16000	0	24.0464	217
DATA	1656886491	34219980	87	256	2022-07-03	14:14:51	nan	nan	nan	101.451	20.8854	101.989	39.6042	0	0	20.8135	-16000	0	23.8804	232
DATA	1656886492	784219980	94	256	2022-07-03	14:14:52	nan	nan	nan	101.453	20.8975	101.989	39.605	0	0	20.8215	-16000	0	23.8803	247
DATA	1656886493	533902883	97	256	2022-07-03	14:14:53	nan	nan	nan	101.452	20.9068	101.99	39.6057	0	0	20.8293	-16000	0	23.8808	248
DATA	1656886494	783902883	102	256	2022-07-03	14:14:54	nan	nan	nan	101.453	20.9272	101.991	39.6065	0	0	20.8488	-16000	0	23.8792	 90
DATA	1656886495	283902883	104	256	2022-07-03	14:14:55	nan	nan	nan	101.454	20.9329	101.988	39.6065	0	0	20.8538	-16000	0	23.88	245
DATA	1656886496	533902883	109	256	2022-07-03	14:14:56	nan	nan	nan	101.455	20.9572	101.989	39.6065	0	0	20.8752	-16000	0	23.8808	 98
DATA	1656886497	283902883	112	256	2022-07-03	14:14:57	nan	nan	nan	101.454	20.9676	101.99	39.6068	0	0	20.8854	-16000	0	23.8803	 45
DATA	1656886498	283902883	116	256	2022-07-03	14:14:58	nan	nan	nan	101.453	20.9848	101.989	39.6073	0	0	20.9005	-16000	0	23.8812	 92
DATA	1656886499	283902883	120	256	2022-07-03	14:14:59	nan	nan	nan	101.453	21.0059	101.989	39.6073	0	0	20.9189	-16000	0	23.8812	 88
