Model:	LI-7810
SN:	TG10-01205
Software Version:	2.0.25
Timestamp:	2022-07-01 10:25:20
Timezone:	US/Alaska
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	¡ÆC	kPa	¡ÆC		¥ìsecs	¡ÆC	counts	¡ÆC	V	CHK
DATA	1657145033	91460943	14	256	2022-07-06	14:03:53	nan	nan	nan	100.227	21.03	100.755	25.088	0	0	21.107	-16000	0	16.5045	226
DATA	1657145034	91422080	18	256	2022-07-06	14:03:54	nan	nan	nan	100.228	21.0307	100.754	34.0762	0	0	21.1084	-16000	0	16.4978	183
DATA	1657145035	91371059	22	256	2022-07-06	14:03:55	nan	nan	nan	100.227	21.0314	100.753	38.5909	0	0	21.1098	-16000	0	16.5068	193
DATA	1657145036	91322898	26	256	2022-07-06	14:03:56	nan	nan	nan	100.228	21.0321	100.754	39.2297	0	0	21.111	-16000	0	16.51	 32
DATA	1657145037	91284990	30	256	2022-07-06	14:03:57	nan	nan	nan	100.228	21.0326	100.753	39.3952	0	0	21.1123	-16000	0	16.5103	183
DATA	1657145038	91239929	34	256	2022-07-06	14:03:58	nan	nan	nan	100.229	21.0335	100.754	39.4707	0	0	21.1137	-16000	0	16.2569	210
DATA	1657145039	91239929	38	256	2022-07-06	14:03:59	nan	nan	nan	100.227	21.036	100.754	39.5101	0	0	21.1153	-16000	0	16.158	 95
DATA	1657145040	91239929	42	256	2022-07-06	14:04:00	nan	nan	nan	100.229	21.0435	100.755	39.5379	0	0	21.1199	-16000	0	16.1521	193
DATA	1657145041	91239929	46	256	2022-07-06	14:04:01	nan	nan	nan	100.229	21.0538	100.755	39.5558	0	0	21.1295	-16000	0	16.1467	208
DATA	1657145042	91239929	50	256	2022-07-06	14:04:02	nan	nan	nan	100.229	21.0673	100.756	39.5689	0	0	21.1423	-16000	0	16.1423	196
DATA	1657145043	91239929	54	256	2022-07-06	14:04:03	nan	nan	nan	100.23	21.0831	100.756	39.5772	0	0	21.1576	-16000	0	16.1388	154
DATA	1657145044	91239929	58	256	2022-07-06	14:04:04	nan	nan	nan	100.229	21.1009	100.756	39.584	0	0	21.1743	-16000	0	16.1357	154
DATA	1657145045	91239929	62	256	2022-07-06	14:04:05	nan	nan	nan	100.23	21.1206	100.756	39.5886	0	0	21.192	-16000	0	16.1321	 92
DATA	1657145046	90905904	66	256	2022-07-06	14:04:06	nan	nan	nan	100.231	21.1416	100.754	39.5922	0	0	21.2107	-16000	0	16.1298	190
DATA	1657145047	90905904	70	256	2022-07-06	14:04:07	nan	nan	nan	100.23	21.1613	100.754	39.5946	0	0	21.2281	-16000	0	16.1274	140
DATA	1657145048	90905904	74	256	2022-07-06	14:04:08	nan	nan	nan	100.229	21.1835	100.753	39.5965	0	0	21.2477	-16000	0	16.1243	211
DATA	1657145049	90905904	78	256	2022-07-06	14:04:09	nan	nan	nan	100.23	21.2068	100.754	39.598	0	0	21.2678	-16000	0	16.1219	116
DATA	1657145050	90905904	82	256	2022-07-06	14:04:10	nan	nan	nan	100.231	21.2302	100.755	39.5988	0	0	21.288	-16000	0	16.1196	143
DATA	1657145051	90905904	86	256	2022-07-06	14:04:11	nan	nan	nan	100.23	21.2543	100.753	39.5992	0	0	21.3093	-16000	0	16.1176	143
DATA	1657145052	90905904	90	256	2022-07-06	14:04:12	nan	nan	nan	100.229	21.2788	100.755	39.6	0	0	21.3302	-16000	0	16.1157	 38
DATA	1657145053	90905904	94	256	2022-07-06	14:04:13	nan	nan	nan	100.23	21.3032	100.754	39.6005	0	0	21.3513	-16000	0	16.1129	122
DATA	1657145054	90557098	98	256	2022-07-06	14:04:14	nan	nan	nan	100.231	21.3282	100.753	39.6011	0	0	21.3725	-16000	0	16.1106	187
DATA	1657145055	90557098	102	256	2022-07-06	14:04:15	nan	nan	nan	100.231	21.3528	100.754	39.6015	0	0	21.3939	-16000	0	16.109	192
DATA	1657145056	90557098	106	256	2022-07-06	14:04:16	nan	nan	nan	100.231	21.3757	100.754	39.6019	0	0	21.4139	-16000	0	16.1062	246
DATA	1657145057	90557098	110	256	2022-07-06	14:04:17	nan	nan	nan	100.23	21.4003	100.754	39.6025	0	0	21.4357	-16000	0	16.1039	182
DATA	1657145058	90557098	114	256	2022-07-06	14:04:18	nan	nan	nan	100.231	21.4249	100.754	39.6027	0	0	21.4576	-16000	0	16.1023	247
DATA	1657145059	90557098	118	256	2022-07-06	14:04:19	nan	nan	nan	100.229	21.4491	100.751	39.6032	0	0	21.4799	-16000	0	16.1004	  2
DATA	1657145060	90557098	122	256	2022-07-06	14:04:20	nan	nan	nan	100.231	21.4739	100.753	39.6034	0	0	21.5027	-16000	0	16.0984	240
DATA	1657145061	90228080	126	256	2022-07-06	14:04:21	nan	nan	nan	100.232	21.4988	100.755	39.6038	0	0	21.5248	-16000	0	16.096	196
DATA	1657145062	90228080	130	256	2022-07-06	14:04:22	nan	nan	nan	100.231	21.5229	100.753	39.6042	0	0	21.5474	-16000	0	16.0945	226
DATA	1657145063	90228080	134	256	2022-07-06	14:04:23	nan	nan	nan	100.231	21.5469	100.754	39.6042	0	0	21.5697	-16000	0	16.0925	244
DATA	1657145064	90228080	138	256	2022-07-06	14:04:24	nan	nan	nan	100.231	21.5684	100.754	39.605	0	0	21.5903	-16000	0	16.0909	192
DATA	1657145065	90228080	142	256	2022-07-06	14:04:25	nan	nan	nan	100.231	21.5919	100.753	39.605	0	0	21.6129	-16000	0	16.0894	193
DATA	1657145066	90228080	146	256	2022-07-06	14:04:26	nan	nan	nan	100.232	21.6152	100.754	39.6054	0	0	21.6355	-16000	0	16.0874	242
DATA	1657145067	90228080	150	256	2022-07-06	14:04:27	nan	nan	nan	100.232	21.6385	100.754	39.6057	0	0	21.6586	-16000	0	16.0862	253
DATA	1657145068	90228080	154	256	2022-07-06	14:04:28	nan	nan	nan	100.231	21.6621	100.753	39.6057	0	0	21.6817	-16000	0	16.0847	250
DATA	1657145069	89876890	158	256	2022-07-06	14:04:29	nan	nan	nan	100.231	21.6852	100.752	39.6065	0	0	21.7046	-16000	0	16.0831	 18
